,Years,personal,corporate,consumption,other taxes,autonomous,federal transfers,total revenue,mission health,mission education,other missions,mission spending,debt service,total spending,surplus,generation fund,fund contribution,net surplus,reserve,debt,gross debt,gdp,debt-to-gdp,gdp growth,pop growth,emp growth
11,2030,177936.44544030487,50596.173080405795,114613.50849557668,163469.22129179566,506615.348308083,127385.76953272155,634001.1178408046,271986.2361024538,121325.49415821099,178158.25509690965,571469.9853575744,-1443.781729599316,570026.2036279751,63974.91421282955,0.0,0.0,63974.91421282955,85503.93054419626,-79092.24726604392,-11856.583528682291,2527511.081966002,-0.004691011490821933,0.016709094837159443,0.005827517622293499,0.008053447536727987
12,2031,207413.5285769881,59062.2661098527,133212.92112796326,190821.99425168463,590510.7100664887,148700.81590545515,739211.5259719439,320171.6799888127,141279.4556638869,207968.89629337762,669420.0319460772,-3298.7116556173614,666121.3202904599,73090.20568148396,0.0,0.0,73090.20568148396,99918.19804356898,-129799.31386913883,-51313.32526644555,2950431.288181538,-0.01739180487679545,0.017326746550433102,0.0032055453240467102,0.008671099250001646
13,2032,241951.1354119583,68963.02862577842,155122.43900908504,222809.98544029403,688846.5884871158,173627.9235356634,862474.5120227792,380340.80987162516,164886.953643892,242831.26762654315,788059.0311420603,-5413.558526299298,782645.472615761,79829.03940701822,0.0,0.0,79829.03940701822,117396.82089236415,-182845.01601297234,-91202.21536826211,3445019.8203843213,-0.026473640246890577,0.017632621774295375,0.005300742629827937,0.008976974473863919
14,2033,282142.20395784103,80506.59455062478,180588.9716626469,260105.64670831827,803343.416879431,202691.11031367147,1006034.5271931025,450863.8187972519,192926.88099756523,283478.24619345006,927268.9459882672,-7625.943203569612,919643.0027846976,86391.52440840495,0.0,0.0,86391.52440840495,137946.45041770462,-237824.70130786044,-130842.01881833913,4021673.923335704,-0.03253421866430548,0.017387746084738597,0.005201386655819817,0.00873209878430714
15,2034,328439.5698148233,93809.13382247018,209654.84356100255,303084.3070215472,934987.8542198432,236182.85679794298,1171170.711017786,532964.0431148232,226046.61474320688,330318.8873080228,1089329.5451660529,-9918.988792404267,1079410.5563736486,91760.15464413748,0.0,0.0,91760.15464413748,161911.5834560473,-292962.69179027074,-168302.68307464366,4686196.818663097,-0.03591455706776267,0.015235398989338466,0.0029643228334563787,0.0065797516889070096
16,2035,382385.06988099107,109369.93758496719,243590.9843694163,353359.106850527,1088705.0986859016,275360.22617493646,1364065.324860838,626188.9268607259,262513.7716488597,385111.285180215,1273813.9836898006,-12218.636838309938,1261595.3468514907,102469.97800934734,0.0,0.0,102469.97800934734,189239.3020277236,-353348.40623526246,-208010.13460841344,5463530.390739929,-0.03807247690265753,0.015877277919921783,0.00286228466541516,0.007221630619490327
17,2036,445862.0348333879,127607.79930893134,283237.2682473472,412283.10984391614,1268990.2122335825,321277.6129829568,1590267.8252165392,742430.4246820414,303630.86046073795,449330.0871887505,1495391.3723315299,-14737.152457197843,1480654.219874332,109613.60534220724,0.0,0.0,109613.60534220724,222098.1329811498,-412885.9244611594,-243311.9317608557,6374595.295696832,-0.03816900061484739,0.016753882526407426,0.003863011889286838,0.00809823522597597
18,2037,518755.8516310957,148678.6372224922,328775.94750034023,480360.0661825242,1476570.5025364524,374327.5718810867,1850898.074417539,876935.6603688393,353990.1097837978,523524.309549089,1754450.079701726,-17220.292235205074,1737229.787466521,113668.28695101803,0.0,0.0,113668.28695101803,260584.46811997812,-468007.674648753,-270433.30788124003,7427180.364694056,-0.03641130208265514,0.01512186580813547,0.00235151710401027,0.0064662185077040135
19,2038,604355.6096626954,173394.64354892445,382402.39362468355,560214.0563490188,1720366.7031853222,436554.95577165775,2156921.65895698,1044419.8459254609,412311.57238176744,610553.827633069,2067285.2459402974,-19519.26294481478,2047765.9829954826,109155.67596149724,0.0,0.0,109155.67596149724,307164.8974493224,-507187.9563068109,-276769.26576695195,8661858.327249132,-0.03195264287529042,0.016237778258928148,0.0046252901836112414,0.007582130958496691
20,2039,701852.6118161486,201634.65163019483,443574.4800013927,651453.6076681097,1998515.3511158458,507654.7038756511,2506170.0549914967,1226572.9278624482,483652.37466669787,709991.991774186,2420217.294303332,-21153.360549110497,2399063.9337542215,107106.12123727519,0.0,0.0,107106.12123727519,359859.5900631332,-534394.1869154861,-266448.2374607037,10072576.35263794,-0.02645283869115797,0.012865515931017046,0.002637417803502018,0.004209868630585589
