age;educ;insch;male;nkids;married;hours_c
18;des;True;False;4;True;1171.011375205978
18;des;True;False;5;False;1038.6064151552343
18;des;True;False;5;True;1171.011375205978
18;des;True;False;6;False;1038.6064151552343
18;des;True;False;6;True;1171.011375205978
18;des;True;False;7;False;1038.6064151552343
18;des;True;False;7;True;1171.011375205978
18;des;True;True;0;False;1017.685252376393
18;des;True;True;0;True;1150.0902124271367
18;des;True;True;1;False;918.4525497995488
18;des;True;True;1;True;1050.8575098502927
18;des;True;True;2;False;1279.8357597286108
18;des;True;True;2;True;1412.2407197793545
18;des;True;True;3;False;1038.6064151552343
18;des;True;True;3;True;1171.011375205978
18;des;True;True;4;False;1038.6064151552343
18;des;True;True;4;True;1171.011375205978
18;des;True;True;5;False;1038.6064151552343
18;des;True;True;5;True;1171.011375205978
18;des;True;True;6;False;1038.6064151552343
18;des;True;True;6;True;1171.011375205978
18;des;True;True;7;False;1038.6064151552343
18;des;True;True;7;True;1171.011375205978
18;none;False;False;0;False;1824.878800950571
18;none;False;False;0;True;1932.443888891618
18;none;False;False;1;False;1638.2456653855143
18;none;False;False;1;True;1745.810753326561
18;none;False;False;2;False;1592.0102659604704
18;none;False;False;2;True;1699.5753539015172
18;none;False;False;3;False;1509.2292583109324
18;none;False;False;3;True;1616.7943462519793
18;none;False;False;4;False;1509.2292583109324
18;none;False;False;4;True;1616.7943462519793
18;none;False;False;5;False;1509.2292583109324
18;none;False;False;5;True;1616.7943462519793
18;none;False;False;6;False;1509.2292583109324
18;none;False;False;6;True;1616.7943462519793
18;none;False;False;7;False;1509.2292583109324
18;none;False;False;7;True;1616.7943462519793
18;none;False;True;0;False;1824.878800950571
18;none;False;True;0;True;1932.443888891618
18;none;False;True;1;False;1638.2456653855143
18;none;False;True;1;True;1745.810753326561
18;none;False;True;2;False;1592.0102659604704
18;none;False;True;2;True;1699.5753539015172
18;none;False;True;3;False;1509.2292583109324
18;none;False;True;3;True;1616.7943462519793
18;none;False;True;4;False;1509.2292583109324
18;none;False;True;4;True;1616.7943462519793
18;none;False;True;5;False;1509.2292583109324
18;none;False;True;5;True;1616.7943462519793
18;none;False;True;6;False;1509.2292583109324
18;none;False;True;6;True;1616.7943462519793
18;none;False;True;7;False;1509.2292583109324
18;none;False;True;7;True;1616.7943462519793
18;none;True;False;0;False;1017.685252376393
18;none;True;False;0;True;1150.0902124271367
18;none;True;False;1;False;918.4525497995488
18;none;True;False;1;True;1050.8575098502927
18;none;True;False;2;False;1279.8357597286108
18;none;True;False;2;True;1412.2407197793545
18;none;True;False;3;False;1038.6064151552343
18;none;True;False;3;True;1171.011375205978
18;none;True;False;4;False;1038.6064151552343
18;none;True;False;4;True;1171.011375205978
18;none;True;False;5;False;1038.6064151552343
18;none;True;False;5;True;1171.011375205978
18;none;True;False;6;False;1038.6064151552343
18;none;True;False;6;True;1171.011375205978
18;none;True;False;7;False;1038.6064151552343
18;none;True;False;7;True;1171.011375205978
18;none;True;True;0;False;1017.685252376393
18;none;True;True;0;True;1150.0902124271367
18;none;True;True;1;False;918.4525497995488
18;none;True;True;1;True;1050.8575098502927
18;none;True;True;2;False;1279.8357597286108
18;none;True;True;2;True;1412.2407197793545
18;none;True;True;3;False;1038.6064151552343
18;none;True;True;3;True;1171.011375205978
18;none;True;True;4;False;1038.6064151552343
18;none;True;True;4;True;1171.011375205978
18;none;True;True;5;False;1038.6064151552343
18;none;True;True;5;True;1171.011375205978
18;none;True;True;6;False;1038.6064151552343
18;none;True;True;6;True;1171.011375205978
18;none;True;True;7;False;1038.6064151552343
18;none;True;True;7;True;1171.011375205978
18;uni;False;False;0;False;1456.779236352616
18;uni;False;False;0;True;1465.9094274831314
18;uni;False;False;1;False;1418.0813737903131
18;uni;False;False;1;True;1427.2115649208286
18;uni;False;False;2;False;1422.2275209852155
18;uni;False;False;2;True;1431.357712115731
18;uni;False;False;3;False;1588.1164856669134
18;uni;False;False;3;True;1597.2466767974288
18;uni;False;False;4;False;1588.1164856669134
18;uni;False;False;4;True;1597.2466767974288
18;uni;False;False;5;False;1588.1164856669134
18;uni;False;False;5;True;1597.2466767974288
18;uni;False;False;6;False;1588.1164856669134
18;uni;False;False;6;True;1597.2466767974288
18;uni;False;False;7;False;1588.1164856669134
18;uni;False;False;7;True;1597.2466767974288
18;uni;False;True;0;False;1456.779236352616
18;uni;False;True;0;True;1465.9094274831314
18;uni;False;True;1;False;1418.0813737903131
18;uni;False;True;1;True;1427.2115649208286
18;uni;False;True;2;False;1422.2275209852155
18;uni;False;True;2;True;1431.357712115731
18;uni;False;True;3;False;1588.1164856669134
18;uni;False;True;3;True;1597.2466767974288
18;uni;False;True;4;False;1588.1164856669134
18;uni;False;True;4;True;1597.2466767974288
18;uni;False;True;5;False;1588.1164856669134
18;uni;False;True;5;True;1597.2466767974288
18;uni;False;True;6;False;1588.1164856669134
18;uni;False;True;6;True;1597.2466767974288
18;uni;False;True;7;False;1588.1164856669134
18;uni;False;True;7;True;1597.2466767974288
18;uni;True;False;0;False;1017.685252376393
18;uni;True;False;0;True;1150.0902124271367
18;uni;True;False;1;False;918.4525497995488
18;uni;True;False;1;True;1050.8575098502927
18;uni;True;False;2;False;1279.8357597286108
18;uni;True;False;2;True;1412.2407197793545
18;uni;True;False;3;False;1038.6064151552343
18;uni;True;False;3;True;1171.011375205978
18;uni;True;False;4;False;1038.6064151552343
18;uni;True;False;4;True;1171.011375205978
18;uni;True;False;5;False;1038.6064151552343
18;uni;True;False;5;True;1171.011375205978
18;uni;True;False;6;False;1038.6064151552343
18;uni;True;False;6;True;1171.011375205978
18;uni;True;False;7;False;1038.6064151552343
18;uni;True;False;7;True;1171.011375205978
18;uni;True;True;0;False;1017.685252376393
18;uni;True;True;0;True;1150.0902124271367
18;uni;True;True;1;False;918.4525497995488
18;uni;True;True;1;True;1050.8575098502927
18;uni;True;True;2;False;1279.8357597286108
18;uni;True;True;2;True;1412.2407197793545
18;uni;True;True;3;False;1038.6064151552343
18;uni;True;True;3;True;1171.011375205978
18;uni;True;True;4;False;1038.6064151552343
18;uni;True;True;4;True;1171.011375205978
18;uni;True;True;5;False;1038.6064151552343
18;uni;True;True;5;True;1171.011375205978
18;uni;True;True;6;False;1038.6064151552343
18;uni;True;True;6;True;1171.011375205978
18;uni;True;True;7;False;1038.6064151552343
18;uni;True;True;7;True;1171.011375205978
19;dec;False;False;0;False;1692.1876938274083
19;dec;False;False;0;True;1704.7994244252588
19;dec;False;False;1;False;1616.5367491333313
19;dec;False;False;1;True;1629.1484797311819
19;dec;False;False;2;False;1544.227084118625
19;dec;False;False;2;True;1556.8388147164756
19;dec;False;False;3;False;1585.7693860026536
19;dec;False;False;3;True;1598.3811166005041
19;dec;False;False;4;False;1585.7693860026536
19;dec;False;False;4;True;1598.3811166005041
19;dec;False;False;5;False;1585.7693860026536
19;dec;False;False;5;True;1598.3811166005041
19;dec;False;False;6;False;1585.7693860026536
19;dec;False;False;6;True;1598.3811166005041
19;dec;False;False;7;False;1585.7693860026536
19;dec;False;False;7;True;1598.3811166005041
19;dec;False;True;0;False;1692.1876938274083
19;dec;False;True;0;True;1704.7994244252588
19;dec;False;True;1;False;1616.5367491333313
19;dec;False;True;1;True;1629.1484797311819
19;dec;False;True;2;False;1544.227084118625
19;dec;False;True;2;True;1556.8388147164756
19;dec;False;True;3;False;1585.7693860026536
19;dec;False;True;3;True;1598.3811166005041
19;dec;False;True;4;False;1585.7693860026536
19;dec;False;True;4;True;1598.3811166005041
19;dec;False;True;5;False;1585.7693860026536
19;dec;False;True;5;True;1598.3811166005041
19;dec;False;True;6;False;1585.7693860026536
19;dec;False;True;6;True;1598.3811166005041
19;dec;False;True;7;False;1585.7693860026536
19;dec;False;True;7;True;1598.3811166005041
19;dec;True;False;0;False;1050.892831782851
19;dec;True;False;0;True;1183.2977918335948
19;dec;True;False;1;False;951.6601292060069
19;dec;True;False;1;True;1084.0650892567508
19;dec;True;False;2;False;1313.043339135069
19;dec;True;False;2;True;1445.4482991858126
19;dec;True;False;3;False;1071.8139945616924
19;dec;True;False;3;True;1204.2189546124362
19;dec;True;False;4;False;1071.8139945616924
19;dec;True;False;4;True;1204.2189546124362
19;dec;True;False;5;False;1071.8139945616924
19;dec;True;False;5;True;1204.2189546124362
19;dec;True;False;6;False;1071.8139945616924
19;dec;True;False;6;True;1204.2189546124362
19;dec;True;False;7;False;1071.8139945616924
19;dec;True;False;7;True;1204.2189546124362
19;dec;True;True;0;False;1050.892831782851
19;dec;True;True;0;True;1183.2977918335948
