age;educ;insch;male;nkids;married;cons
18;none;True;False;6;False;9993.03232415418
18;none;True;False;6;True;12094.2894001151
18;none;True;False;7;False;9993.03232415418
18;none;True;False;7;True;12094.2894001151
18;none;True;True;0;False;13427.17466577178
18;none;True;True;0;True;15944.512387202403
18;none;True;True;1;False;15582.684244339913
18;none;True;True;1;True;17937.646903300076
18;none;True;True;2;False;13106.052014266968
18;none;True;True;2;True;15431.620768916233
18;none;True;True;3;False;9958.326676165581
18;none;True;True;3;True;12123.69392740834
18;none;True;True;4;False;9958.326676165581
18;none;True;True;4;True;12123.69392740834
18;none;True;True;5;False;9958.326676165581
18;none;True;True;5;True;12123.69392740834
18;none;True;True;6;False;9958.326676165581
18;none;True;True;6;True;12123.69392740834
18;none;True;True;7;False;9958.326676165581
18;none;True;True;7;True;12123.69392740834
18;uni;False;False;0;False;22118.924119624415
18;uni;False;False;0;True;22456.680106699878
18;uni;False;False;1;False;25887.335191054324
18;uni;False;False;1;True;25986.716544037437
18;uni;False;False;2;False;26460.52456533584
18;uni;False;False;2;True;26583.351695782
18;uni;False;False;3;False;30101.459566686248
18;uni;False;False;3;True;29994.39302806819
18;uni;False;False;4;False;30101.459566686248
18;uni;False;False;4;True;29994.39302806819
18;uni;False;False;5;False;30101.459566686248
18;uni;False;False;5;True;29994.39302806819
18;uni;False;False;6;False;30101.459566686248
18;uni;False;False;6;True;29994.39302806819
18;uni;False;False;7;False;30101.459566686248
18;uni;False;False;7;True;29994.39302806819
18;uni;False;True;0;False;21443.812661957538
18;uni;False;True;0;True;21848.331530390868
18;uni;False;True;1;False;25343.395229717084
18;uni;False;True;1;True;25530.750276629085
18;uni;False;True;2;False;25886.691670380336
18;uni;False;True;2;True;26098.92127337482
18;uni;False;True;3;False;29657.444043236224
18;uni;False;True;3;True;29656.572867871928
18;uni;False;True;4;False;29657.444043236224
18;uni;False;True;4;True;29656.572867871928
18;uni;False;True;5;False;29657.444043236224
18;uni;False;True;5;True;29656.572867871928
18;uni;False;True;6;False;29657.444043236224
18;uni;False;True;6;True;29656.572867871928
18;uni;False;True;7;False;29657.444043236224
18;uni;False;True;7;True;29656.572867871928
18;uni;True;False;0;False;13420.95138013085
18;uni;True;False;0;True;15843.253687939037
18;uni;True;False;1;False;15499.026563617686
18;uni;True;False;1;True;17736.26186878625
18;uni;True;False;2;False;13082.393310320074
18;uni;True;False;2;True;15313.036789598595
18;uni;True;False;3;False;9993.03232415418
18;uni;True;False;3;True;12094.2894001151
18;uni;True;False;4;False;9993.03232415418
18;uni;True;False;4;True;12094.2894001151
18;uni;True;False;5;False;9993.03232415418
18;uni;True;False;5;True;12094.2894001151
18;uni;True;False;6;False;9993.03232415418
18;uni;True;False;6;True;12094.2894001151
18;uni;True;False;7;False;9993.03232415418
18;uni;True;False;7;True;12094.2894001151
18;uni;True;True;0;False;13427.17466577178
18;uni;True;True;0;True;15944.512387202403
18;uni;True;True;1;False;15582.684244339913
18;uni;True;True;1;True;17937.646903300076
18;uni;True;True;2;False;13106.052014266968
18;uni;True;True;2;True;15431.620768916233
18;uni;True;True;3;False;9958.326676165581
18;uni;True;True;3;True;12123.69392740834
18;uni;True;True;4;False;9958.326676165581
18;uni;True;True;4;True;12123.69392740834
18;uni;True;True;5;False;9958.326676165581
18;uni;True;True;5;True;12123.69392740834
18;uni;True;True;6;False;9958.326676165581
18;uni;True;True;6;True;12123.69392740834
18;uni;True;True;7;False;9958.326676165581
18;uni;True;True;7;True;12123.69392740834
19;dec;False;False;0;False;11921.651580310836
19;dec;False;False;0;True;10922.716148963194
19;dec;False;False;1;False;12154.326748091507
19;dec;False;False;1;True;11144.471738902525
19;dec;False;False;2;False;15416.983466405405
19;dec;False;False;2;True;14177.254712486963
19;dec;False;False;3;False;14583.534872227798
19;dec;False;False;3;True;13398.491428333316
19;dec;False;False;4;False;14583.534872227798
19;dec;False;False;4;True;13398.491428333316
19;dec;False;False;5;False;14583.534872227798
19;dec;False;False;5;True;13398.491428333316
19;dec;False;False;6;False;14583.534872227798
19;dec;False;False;6;True;13398.491428333316
19;dec;False;False;7;False;14583.534872227798
19;dec;False;False;7;True;13398.491428333316
19;dec;False;True;0;False;12597.34531859554
19;dec;False;True;0;True;11544.295886367861
19;dec;False;True;1;False;12837.029526424843
19;dec;False;True;1;True;11773.00456279386
19;dec;False;True;2;False;16253.351562063299
19;dec;False;True;2;True;14949.60979500388
19;dec;False;True;3;False;15383.533597768845
19;dec;False;True;3;True;14136.548745695263
19;dec;False;True;4;False;15383.533597768845
19;dec;False;True;4;True;14136.548745695263
19;dec;False;True;5;False;15383.533597768845
19;dec;False;True;5;True;14136.548745695263
19;dec;False;True;6;False;15383.533597768845
19;dec;False;True;6;True;14136.548745695263
19;dec;False;True;7;False;15383.533597768845
19;dec;False;True;7;True;14136.548745695263
19;dec;True;False;0;False;13739.584045878242
19;dec;True;False;0;True;16174.879512415067
19;dec;True;False;1;False;15830.721169358148
19;dec;True;False;1;True;18066.114787652343
19;dec;True;False;2;False;13384.621118297564
19;dec;True;False;2;True;15623.797528492541
19;dec;True;False;3;False;10249.06379770478
19;dec;True;False;3;True;12370.112710289799
19;dec;True;False;4;False;10249.06379770478
19;dec;True;False;4;True;12370.112710289799
19;dec;True;False;5;False;10249.06379770478
19;dec;True;False;5;True;12370.112710289799
19;dec;True;False;6;False;10249.06379770478
19;dec;True;False;6;True;12370.112710289799
19;dec;True;False;7;False;10249.06379770478
19;dec;True;False;7;True;12370.112710289799
19;dec;True;True;0;False;13751.933791833397
19;dec;True;True;0;True;16285.337844332626
19;dec;True;True;1;False;15923.091838361477
19;dec;True;True;1;True;18279.19206700061
19;dec;True;True;2;False;13414.658461369438
19;dec;True;True;2;True;15751.636124870958
19;dec;True;True;3;False;10217.911235862455
19;dec;True;True;3;True;12405.58121770865
19;dec;True;True;4;False;10217.911235862455
19;dec;True;True;4;True;12405.58121770865
19;dec;True;True;5;False;10217.911235862455
19;dec;True;True;5;True;12405.58121770865
19;dec;True;True;6;False;10217.911235862455
19;dec;True;True;6;True;12405.58121770865
19;dec;True;True;7;False;10217.911235862455
19;dec;True;True;7;True;12405.58121770865
19;des;False;False;0;False;9565.557175017051
19;des;False;False;0;True;10281.150720949418
19;des;False;False;1;False;10439.93285760775
19;des;False;False;1;True;11187.86794978792
19;des;False;False;2;False;11202.133687848194
19;des;False;False;2;True;11936.889554231579
19;des;False;False;3;False;9423.816311934854
19;des;False;False;3;True;10139.157699531956
19;des;False;False;4;False;9423.816311934854
19;des;False;False;4;True;10139.157699531956
19;des;False;False;5;False;9423.816311934854
19;des;False;False;5;True;10139.157699531956
19;des;False;False;6;False;9423.816311934854
19;des;False;False;6;True;10139.157699531956
19;des;False;False;7;False;9423.816311934854
19;des;False;False;7;True;10139.157699531956
19;des;False;True;0;False;9907.924532736539
19;des;False;True;0;True;10628.364746411307
19;des;False;True;1;False;10806.632151636164
19;des;False;True;1;True;11558.255782096703
19;des;False;True;2;False;11581.283722565297
19;des;False;True;2;True;12316.843741681681
19;des;False;True;3;False;9763.286803639769
19;des;False;True;3;True;10483.913258641349
19;des;False;True;4;False;9763.286803639769
19;des;False;True;4;True;10483.913258641349
19;des;False;True;5;False;9763.286803639769
19;des;False;True;5;True;10483.913258641349
19;des;False;True;6;False;9763.286803639769
19;des;False;True;6;True;10483.913258641349
19;des;False;True;7;False;9763.286803639769
19;des;False;True;7;True;10483.913258641349
19;des;True;False;0;False;13739.584045878242
19;des;True;False;0;True;16174.879512415067
19;des;True;False;1;False;15830.721169358148
19;des;True;False;1;True;18066.114787652343
19;des;True;False;2;False;13384.621118297564
19;des;True;False;2;True;15623.797528492541
19;des;True;False;3;False;10249.06379770478
19;des;True;False;3;True;12370.112710289799
19;des;True;False;4;False;10249.06379770478
19;des;True;False;4;True;12370.112710289799
19;des;True;False;5;False;10249.06379770478
19;des;True;False;5;True;12370.112710289799
19;des;True;False;6;False;10249.06379770478
19;des;True;False;6;True;12370.112710289799
19;des;True;False;7;False;10249.06379770478
19;des;True;False;7;True;12370.112710289799
19;des;True;True;0;False;13751.933791833397
19;des;True;True;0;True;16285.337844332626
19;des;True;True;1;False;15923.091838361477
19;des;True;True;1;True;18279.19206700061
19;des;True;True;2;False;13414.658461369438
19;des;True;True;2;True;15751.636124870958
19;des;True;True;3;False;10217.911235862455
19;des;True;True;3;True;12405.58121770865
19;des;True;True;4;False;10217.911235862455
19;des;True;True;4;True;12405.58121770865
19;des;True;True;5;False;10217.911235862455
19;des;True;True;5;True;12405.58121770865
19;des;True;True;6;False;10217.911235862455
19;des;True;True;6;True;12405.58121770865
19;des;True;True;7;False;10217.911235862455
19;des;True;True;7;True;12405.58121770865
19;none;False;False;0;False;11920.028447057355
19;none;False;False;0;True;13200.056805758508
19;none;False;False;1;False;11806.235036815217
19;none;False;False;1;True;13082.343761794687
19;none;False;False;2;False;10204.47322886465
19;none;False;False;2;True;11530.988680107368
19;none;False;False;3;False;14768.121505102139
19;none;False;False;3;True;16004.255369065519
19;none;False;False;4;False;14768.121505102139
19;none;False;False;4;True;16004.255369065519
19;none;False;False;5;False;14768.121505102139
19;none;False;False;5;True;16004.255369065519
19;none;False;False;6;False;14768.121505102139
19;none;False;False;6;True;16004.255369065519
19;none;False;False;7;False;14768.121505102139
19;none;False;False;7;True;16004.255369065519
19;none;False;True;0;False;13091.359427098112
19;none;False;True;0;True;14323.597651977061
19;none;False;True;1;False;12971.659874836454
19;none;False;True;1;True;14201.641419011472
19;none;False;True;2;False;11353.357994758544
19;none;False;True;2;True;12675.618088993095
19;none;False;True;3;False;15996.128222349169
19;none;False;True;3;True;17127.49898875536
19;none;False;True;4;False;15996.128222349169
19;none;False;True;4;True;17127.49898875536
19;none;False;True;5;False;15996.128222349169
19;none;False;True;5;True;17127.49898875536
19;none;False;True;6;False;15996.128222349169
