age;educ;insch;male;nkids;married;credit_famille
18;des;False;False;3;False;0.5324990079156314
18;des;False;False;3;True;0.22220883923825618
18;des;False;False;4;False;0.5324990079156314
18;des;False;False;4;True;0.22220883923825618
18;des;False;False;5;False;0.5324990079156314
18;des;False;False;5;True;0.22220883923825618
18;des;False;False;6;False;0.5324990079156314
18;des;False;False;6;True;0.22220883923825618
18;des;False;False;7;False;0.5324990079156314
18;des;False;False;7;True;0.22220883923825618
18;des;False;True;0;False;8.314148744932987e-19
18;des;False;True;0;True;3.0515673916604246e-17
18;des;False;True;1;False;0.1378094130115029
18;des;False;True;1;True;0.006101429659032126
18;des;False;True;2;False;0.06505981524736587
18;des;False;True;2;True;0.01656705670776132
18;des;False;True;3;False;0.006409515881931916
18;des;False;True;3;True;0.01281903176386383
18;des;False;True;4;False;0.006409515881931916
18;des;False;True;4;True;0.01281903176386383
18;des;False;True;5;False;0.006409515881931916
18;des;False;True;5;True;0.01281903176386383
18;des;False;True;6;False;0.006409515881931916
18;des;False;True;6;True;0.01281903176386383
18;des;False;True;7;False;0.006409515881931916
18;des;False;True;7;True;0.01281903176386383
18;des;True;False;0;False;-1.6601280059806293e-17
18;des;True;False;0;True;2.0099949202249683e-16
18;des;True;False;1;False;0.110008491828403
18;des;True;False;1;True;0.09588270841584522
18;des;True;False;2;False;0.36383191360765976
18;des;True;False;2;True;0.17267448381463285
18;des;True;False;3;False;0.38843026121242
18;des;True;False;3;True;0.39240929965857135
18;des;True;False;4;False;0.38843026121242
18;des;True;False;4;True;0.39240929965857135
18;des;True;False;5;False;0.38843026121242
18;des;True;False;5;True;0.39240929965857135
18;des;True;False;6;False;0.38843026121242
18;des;True;False;6;True;0.39240929965857135
18;des;True;False;7;False;0.38843026121242
18;des;True;False;7;True;0.39240929965857135
18;des;True;True;0;False;-9.78683857948915e-18
18;des;True;True;0;True;1.1709904476900233e-17
18;des;True;True;1;False;2.0038042614080876e-17
18;des;True;True;1;True;0.039822130302785044
18;des;True;True;2;False;0.012122609980944186
18;des;True;True;2;True;0.02424521996188838
18;des;True;True;3;False;4.004199561639228e-17
18;des;True;True;3;True;0.06706046346669589
18;des;True;True;4;False;4.004199561639228e-17
18;des;True;True;4;True;0.06706046346669589
18;des;True;True;5;False;4.004199561639228e-17
18;des;True;True;5;True;0.06706046346669589
18;des;True;True;6;False;4.004199561639228e-17
18;des;True;True;6;True;0.06706046346669589
18;des;True;True;7;False;4.004199561639228e-17
18;des;True;True;7;True;0.06706046346669589
18;none;False;False;0;False;3.247612856940129e-17
18;none;False;False;0;True;3.8126794961939995e-17
18;none;False;False;1;False;0.2699872595078954
18;none;False;False;1;True;0.10959846153009917
18;none;False;False;2;False;0.26600540212482754
18;none;False;False;2;True;0.2393295000400334
18;none;False;False;3;False;0.195872927236073
18;none;False;False;3;True;0.2547153319253401
18;none;False;False;4;False;0.195872927236073
18;none;False;False;4;True;0.2547153319253401
18;none;False;False;5;False;0.195872927236073
18;none;False;False;5;True;0.2547153319253401
18;none;False;False;6;False;0.195872927236073
18;none;False;False;6;True;0.2547153319253401
18;none;False;False;7;False;0.195872927236073
18;none;False;False;7;True;0.2547153319253401
18;none;False;True;0;False;6.6244613357558955e-18
18;none;False;True;0;True;1.1644652157629625e-17
