age;educ;insch;male;nkids;married;earn_c
18;des;True;False;5;True;19448.00500418653
18;des;True;False;6;False;15813.027298442637
18;des;True;False;6;True;19448.00500418653
18;des;True;False;7;False;15813.027298442637
18;des;True;False;7;True;19448.00500418653
18;des;True;True;0;False;17735.821154537683
18;des;True;True;0;True;21325.942010973344
18;des;True;True;1;False;21808.68283086374
18;des;True;True;1;True;25711.845844722644
18;des;True;True;2;False;20552.402997060934
18;des;True;True;2;True;24348.828300434907
18;des;True;True;3;False;24299.868147848374
18;des;True;True;3;True;28868.311853921725
18;des;True;True;4;False;24299.868147848374
18;des;True;True;4;True;28868.311853921725
18;des;True;True;5;False;24299.868147848374
18;des;True;True;5;True;28868.311853921725
18;des;True;True;6;False;24299.868147848374
18;des;True;True;6;True;28868.311853921725
18;des;True;True;7;False;24299.868147848374
18;des;True;True;7;True;28868.311853921725
18;none;False;False;0;False;13985.881105708546
18;none;False;False;0;True;16404.523513368807
18;none;False;False;1;False;11724.304694162189
18;none;False;False;1;True;13926.964168214716
18;none;False;False;2;False;12363.885199146469
18;none;False;False;2;True;14690.783364404457
18;none;False;False;3;False;10059.798607262748
18;none;False;False;3;True;12072.617749393787
18;none;False;False;4;False;10059.798607262748
18;none;False;False;4;True;12072.617749393787
18;none;False;False;5;False;10059.798607262748
18;none;False;False;5;True;12072.617749393787
18;none;False;False;6;False;10059.798607262748
18;none;False;False;6;True;12072.617749393787
18;none;False;False;7;False;10059.798607262748
18;none;False;False;7;True;12072.617749393787
18;none;False;True;0;False;26556.838516758122
18;none;False;True;0;True;30114.230047785764
18;none;False;True;1;False;23556.906653902028
18;none;False;True;1;True;27052.61334527056
18;none;False;True;2;False;24872.812011900718
18;none;False;True;2;True;28571.726264432687
18;none;False;True;3;False;21157.44058160979
18;none;False;True;3;True;24546.913711541238
18;none;False;True;4;False;21157.44058160979
18;none;False;True;4;True;24546.913711541238
18;none;False;True;5;False;21157.44058160979
18;none;False;True;5;True;24546.913711541238
18;none;False;True;6;False;21157.44058160979
18;none;False;True;6;True;24546.913711541238
18;none;False;True;7;False;21157.44058160979
18;none;False;True;7;True;24546.913711541238
18;none;True;False;0;False;11280.281269430596
18;none;True;False;0;True;14041.691194218414
18;none;True;False;1;False;14398.875735236647
18;none;True;False;1;True;17574.175888711434
18;none;True;False;2;False;13444.809951245745
18;none;True;False;2;True;16489.697686084965
18;none;True;False;3;False;15813.027298442637
18;none;True;False;3;True;19448.00500418653
18;none;True;False;4;False;15813.027298442637
18;none;True;False;4;True;19448.00500418653
18;none;True;False;5;False;15813.027298442637
18;none;True;False;5;True;19448.00500418653
18;none;True;False;6;False;15813.027298442637
18;none;True;False;6;True;19448.00500418653
18;none;True;False;7;False;15813.027298442637
18;none;True;False;7;True;19448.00500418653
18;none;True;True;0;False;17735.821154537683
18;none;True;True;0;True;21325.942010973344
18;none;True;True;1;False;21808.68283086374
18;none;True;True;1;True;25711.845844722644
18;none;True;True;2;False;20552.402997060934
18;none;True;True;2;True;24348.828300434907
18;none;True;True;3;False;24299.868147848374
18;none;True;True;3;True;28868.311853921725
18;none;True;True;4;False;24299.868147848374
18;none;True;True;4;True;28868.311853921725
18;none;True;True;5;False;24299.868147848374
18;none;True;True;5;True;28868.311853921725
18;none;True;True;6;False;24299.868147848374
18;none;True;True;6;True;28868.311853921725
18;none;True;True;7;False;24299.868147848374
18;none;True;True;7;True;28868.311853921725
18;uni;False;False;0;False;20827.441308731883
18;uni;False;False;0;True;26507.116034694893
18;uni;False;False;1;False;18167.35545473246
