age;male;Drugs;Hospitals;Other Institutions;Other Professionals;Physicians;Total
23;False;80.25826052381849;776.419012804144;54.896030317753535;139.10843595958997;830.076127454703;1880.7578670600092
23;True;82.1309703715793;375.4800754902996;118.60071199063356;106.00830660180557;313.9714999625162;996.1915644168341
24;False;82.42076687139372;856.0918584433825;53.80780636117136;140.6243162427179;890.9320368338912;2023.876784752557
24;True;86.20790181330753;378.42529558996705;124.84706691564348;102.57195472943657;315.4383834837973;1007.490602532152
25;False;84.58327321896894;935.7647040826209;52.71958240458918;142.14019652584585;951.7879462130792;2166.995702445104
25;True;90.28483325503578;381.3705156896345;131.0934218406534;99.13560285706755;316.90526700507843;1018.7896406474697
26;False;84.95799140579035;951.2353640575936;55.90100043263483;133.37136032166686;987.7751930875381;2213.240909305224
26;True;92.17668686583698;386.1668461474828;133.0834668462073;92.37661737983525;333.38901759789974;1037.1926348372622
27;False;85.33270959261176;966.7060240325665;59.082418460680486;124.60252411748786;1023.7624399619972;2259.486116165344
27;True;94.06854047663819;390.96317660533106;135.07351185176117;85.61763190260295;349.87276819072105;1055.5956290270544
28;False;85.70742777943316;982.1766840075392;62.263836488726135;115.83368791330888;1059.7496868364562;2305.731323025464
28;True;95.96039408743938;395.7595070631794;137.06355685731506;78.85864642537065;366.35651878354236;1073.998623216847
29;False;86.08214596625457;997.647343982512;65.44525451677178;107.06485170912988;1095.736933710915;2351.976529885583
29;True;97.85224769824059;400.5558375210277;139.05360186286893;72.09966094813835;382.84026937636366;1092.4016174066392
30;False;86.45686415307598;1013.1180039574847;68.62667254481744;98.29601550495089;1131.7241805853741;2398.2217367457033
30;True;99.7441013090418;405.35216797887597;141.04364686842283;65.34067547090605;399.324019969185;1110.8046115964316
31;False;91.16113308417779;963.3628486997098;71.8063438434262;95.70778001679707;1095.5905553605533;2317.6286610046645
31;True;101.43229323569258;414.60038450651564;143.02631139587157;62.44686661746788;407.1741185554687;1128.6799743110164
32;False;95.8654020152796;913.607693441935;74.98601514203497;93.11954452864327;1059.4569301357324;2237.0355852636253
32;True;103.12048516234336;423.84860103415537;145.00897592332035;59.553057764029724;415.0242171417524;1146.5553370256011
33;False;100.56967094638141;863.85253818416;78.16568644064374;90.53130904048946;1023.3233049109115;2156.442509522586
33;True;104.80867708899414;433.09681756179504;146.9916404507691;56.65924891059156;422.87431572803615;1164.430699740186
34;False;105.27393987748322;814.0973829263852;81.3453577392525;87.94307355233566;987.1896796860907;2075.8494337815473
34;True;106.49686901564492;442.34503408943476;148.97430497821787;53.7654400571534;430.72441431431986;1182.3060624547709
35;False;109.97820880858502;764.3422276686103;84.52502903786127;85.35483806418185;951.0560544612698;1995.256358040508
35;True;108.1850609422957;451.59325061707443;150.95696950566662;50.87163120371523;438.57451290060357;1200.1814251693556
36;False;113.02669683100433;729.362741126339;86.31783235697348;87.16823121322562;923.2726469304761;1939.1481484580186
36;True;112.55398440578618;463.5420588301589;151.37808373486337;51.02205725770791;451.9363035204152;1230.4324877489316
37;False;116.07518485342364;694.3832545840677;88.11063567608569;88.9816243622694;895.4892393996824;1883.0399388755288
37;True;116.92290786927666;475.4908670432434;151.79919796406014;51.17248331170058;465.29809414022685;1260.6835503285076
38;False;119.12367287584294;659.4037680417963;89.90343899519792;90.79501751131318;867.7058318688887;1826.931729293039
38;True;121.29183133276712;487.43967525632786;152.2203121932569;51.322909365693256;478.6598847600385;1290.9346129080836
39;False;122.17216089826225;624.424281499525;91.69624231431013;92.60841066035695;839.9224243380951;1770.8235197105496
39;True;125.66075479625759;499.3884834694124;152.64142642245366;51.47333541968593;492.0216753798502;1321.1856754876599
40;False;125.22064892068155;589.4447949572536;93.48904563342234;94.42180380940073;812.1390168073013;1714.7153101280596
40;True;130.02967825974807;511.33729168249687;153.0625406516504;51.623761473678606;505.38346599966184;1351.4367380672359
41;False;132.8284044682347;601.820767802992;102.66257642768718;99.38137730693616;821.7454526885882;1758.4385786944383
41;True;137.40695227260582;548.7733760502418;166.44944463134703;52.9478107467871;530.1929718253878;1435.7705555263697
42;False;140.43616001578786;614.1967406487305;111.83610722195203;104.34095080447157;831.3518885698751;1802.161847260817
42;True;144.78422628546355;586.2094604179867;179.8363486110437;54.271860019895584;555.0024776511137;1520.1043729855032
43;False;148.04391556334105;626.5727134944689;121.00963801621688;109.300524302007;840.958324451162;1845.8851158271957
43;True;152.1615002983213;623.6455447857318;193.22325259074032;55.59590929300408;579.8119834768397;1604.4381904446373
44;False;155.6516711108942;638.9486863402074;130.18316881048173;114.26009779954242;850.5647603324488;1889.6083843935744
44;True;159.53877431117903;661.0816291534768;206.61015657043697;56.91995856611256;604.6214893025656;1688.772007903771
45;False;163.25942665844735;651.3246591859457;139.35669960474658;119.21967129707785;860.1711962137357;1933.3316529599533
45;True;166.91604832403678;698.5177135212217;219.9970605501336;58.244007839221055;629.4309951282916;1773.1058253629049
46;False;173.15585221151852;685.3752661759194;153.89899186668802;119.25941390059644;894.560543049688;2026.2500672044105
46;True;178.8306421568111;755.4558847990052;241.2729019987077;59.410306725400986;662.8014201985368;1897.7711558784617
47;False;183.05227776458972;719.4258731658929;168.4412841286295;119.29915650411502;928.9498898856403;2119.168481448867
47;True;190.74523598958544;812.3940560767886;262.5487434472818;60.57660561158091;696.1718452687821;2022.4364863940189
48;False;192.9487033176609;753.4764801558665;182.98357639057093;119.33889910763361;963.3392367215927;2212.0868956933245
48;True;202.65982982235977;869.3322273545721;283.82458489585593;61.74290449776084;729.5422703390274;2147.101816909576
49;False;202.84512887073208;787.5270871458401;197.52586865251237;119.37864171115218;997.728583557545;2305.005309937782
49;True;214.5744236551341;926.2703986323554;305.10042634443005;62.90920338394076;762.9126954092726;2271.767147425133
50;False;212.74155442380325;821.5776941358137;212.06816091445384;119.41838431467077;1032.1179303934973;2397.9237241822384
50;True;226.48901748790843;983.2085699101389;326.37626779300416;64.0755022701207;796.283120479518;2396.43247794069
51;False;225.61461194392538;878.5986120156504;227.77207315489395;121.9591800117898;1044.5713691569365;2498.515846283196
51;True;236.96518613820734;1064.8339422015517;335.4294610593573;63.57790181918197;826.1401682878347;2526.946659506133
52;False;238.4876694640475;935.619529895487;243.47598539533405;124.49997570890882;1057.0248079203755;2599.1079683841526
52;True;247.4413547885063;1146.4593144929645;344.4826543257105;63.080301368243234;855.9972160961515;2657.460841071576
53;False;251.36072698416967;992.6404477753237;259.1798976357741;127.04077140602783;1069.4782466838146;2699.7000904851097
53;True;257.91752343880523;1228.0846867843775;353.53584759206365;62.58270091730451;885.8542639044683;2787.9750226370193
54;False;264.2337845042918;1049.6613656551604;274.88380987621423;129.58156710314685;1081.9316854472536;2800.292212586067
54;True;268.39369208910415;1309.7100590757902;362.5890408584168;62.08510046636577;915.711311712785;2918.489204202462
55;False;277.10684202441394;1106.682283534997;290.58772211665433;132.12236280026588;1094.3851242106928;2900.8843346870235
55;True;278.86986073940307;1391.335431367203;371.64223412476997;61.58750001542705;945.5683595211018;3049.0033857679045
56;False;303.51427436209536;1187.4793998381929;310.14818411527597;138.86707092729674;1123.1690887719535;3063.1780180148144
56;True;296.41610774232265;1513.743614194995;383.5801435928914;62.6339967961967;993.052976675625;3249.4268390020306
57;False;329.9217066997768;1268.2765161413888;329.7086461138976;145.6117790543276;1151.9530533332143;3225.4717013426052
57;True;313.9623547452423;1636.151797022787;395.5180530610127;63.680493576966356;1040.5375938301481;3449.8502922361563
58;False;356.3291390374582;1349.0736324445847;349.26910811251923;152.35648718135843;1180.7370178944752;3387.7653846703956
58;True;331.5086017481619;1758.5599798505789;407.4559625291341;64.72699035773601;1088.0222109846713;3650.2737454702824
59;False;382.73657137513965;1429.8707487477805;368.8295701111408;159.1011953083893;1209.520982455736;3550.0590679981865
59;True;349.0548487510815;1880.9681626783708;419.3938719972555;65.77348713850566;1135.5068281391946;3850.6971987044076
