age;educ;insch;male;nkids;married;taxinc
18;none;False;False;4;False;4061.433055667072
18;none;False;False;4;True;3346.9417270470526
18;none;False;False;5;False;4061.433055667072
18;none;False;False;5;True;3346.9417270470526
18;none;False;False;6;False;4061.433055667072
18;none;False;False;6;True;3346.9417270470526
18;none;False;False;7;False;4061.433055667072
18;none;False;False;7;True;3346.9417270470526
18;none;False;True;0;False;3065.5557970365226
18;none;False;True;0;True;2351.064468416503
18;none;False;True;1;False;2479.174560145336
18;none;False;True;1;True;1764.6832315253164
18;none;False;True;2;False;5023.735386853574
18;none;False;True;2;True;4309.244058233555
18;none;False;True;3;False;4061.433055667072
18;none;False;True;3;True;3346.9417270470526
18;none;False;True;4;False;4061.433055667072
18;none;False;True;4;True;3346.9417270470526
18;none;False;True;5;False;4061.433055667072
18;none;False;True;5;True;3346.9417270470526
18;none;False;True;6;False;4061.433055667072
18;none;False;True;6;True;3346.9417270470526
18;none;False;True;7;False;4061.433055667072
18;none;False;True;7;True;3346.9417270470526
18;none;True;False;0;False;1763.2188635165828
18;none;True;False;0;True;-1709.0192303754986
18;none;True;False;1;False;2950.7378809337188
18;none;True;False;1;True;-521.5002129583627
18;none;True;False;2;False;4398.578983615143
18;none;True;False;2;True;926.340889723062
18;none;True;False;3;False;3730.7739612036576
18;none;True;False;3;True;258.5358673115761
18;none;True;False;4;False;3730.7739612036576
18;none;True;False;4;True;258.5358673115761
18;none;True;False;5;False;3730.7739612036576
18;none;True;False;5;True;258.5358673115761
18;none;True;False;6;False;3730.7739612036576
18;none;True;False;6;True;258.5358673115761
18;none;True;False;7;False;3730.7739612036576
18;none;True;False;7;True;258.5358673115761
18;none;True;True;0;False;1763.2188635165828
18;none;True;True;0;True;-1709.0192303754986
18;none;True;True;1;False;2950.7378809337188
18;none;True;True;1;True;-521.5002129583627
18;none;True;True;2;False;4398.578983615143
18;none;True;True;2;True;926.340889723062
18;none;True;True;3;False;3730.7739612036576
18;none;True;True;3;True;258.5358673115761
18;none;True;True;4;False;3730.7739612036576
18;none;True;True;4;True;258.5358673115761
18;none;True;True;5;False;3730.7739612036576
18;none;True;True;5;True;258.5358673115761
18;none;True;True;6;False;3730.7739612036576
